Polish,English
JEST,IS
SIĘ,MYSELF
W,IN
NA,ON
NIE,NOT
TO,THIS
DO,DOWN
Z,WITH
MI,TO ME
ŻE,THAT
ZA,BEHIND
MA,She
O,ABOUT
MNIE,ME
BARDZO,VERY
PO,AFTER
SĄ,ARE
CI,You
TEGO,THIS
JAK,HOW
GO,HIM
CO,WHAT
TEN,THIS
MOGĘ,I CAN
JUŻ,ALREADY
CIĘ,YOU
I,AND
BYŁ,WAS
OD,FROM
JESTEM,I AM
DLA,FOR
TU,HERE
JEJ,HER
JEGO,HIS
LUBI,LIKES TO
BYŁO,WAS
MASZ,YOU HAVE
COŚ,SOMETHING
TWÓJ,YOUR
TAM,OVER THERE
MÓJ,MY
DUŻO,A LOT
MAM,I HAVE
MU,HIM
ZE,WITH
TYM,This
LUBIĘ,I LIKE
PRZEZ,BY
JESTEŚ,YOU ARE
BYĆ,TO BE
BĘDZIE,WILL BE
TYLKO,JUST
MOŻE,MAYBE
TAK,YES
PAN,MR
JESZCZE,YET
SWOJE,OWN
SWÓJ,YOUR
TĘ,THESE
WCZORAJ,YESTERDAY
BYŁA,WAS
BEZ,WITHOUT
TERAZ,NOW
MOJE,MY
ON,HE
NIŻ,THAN
CZY,IF
JĄ,I
DZIŚ,TODAY
SWOJĄ,In
SOBIE,Herself
TROCHĘ,A BIT
MÓWI,SAYS
CHCESZ,YOU WANT
CIEBIE,YOU
DZISIAJ,TODAY
CHCĘ,WANT
TUTAJ,HERE
ZAWSZE,ALWAYS
DOBRZE,OKAY
MOJEGO,My
TEJ,This
NAPRAWDĘ,REALLY
GDZIE,WHERE
ZOSTAĆ,STAY
NAS,US
KIEDYŚ,ONCE
IŚĆ,GO
PRZED,BEFORE
KSIĄŻKA,BOOK
TWOJE,YOUR
MOJĄ,MY
ICH,THEIR
WSZYSTKO,ALL
TWOJĄ,YOUR
MOJA,MY
SWOJEGO,Itself
TY,YOU
NOWY,NEW
TRZY,THREE
SZYBKO,QUICK
MOIM,MY
DOM,HOUSE
MOŻESZ,YOU CAN
TWOJA,YOUR
JUTRO,TOMORROW
WIELE,MANY
ZBYT,TOO
DWA,TWO
MÓWIĆ,TO TALK
GRAĆ,PLAY
DŁUGO,LONG
WIĘCEJ,MORE
POD,UNDER
OJCIEC,FATHER
POWINIENEŚ,You should
MAJĄ,HAVE
UMIE,Still
DOBRY,GOOD
KUPIĆ,TO BUY
BY,To
SAMOCHÓD,CAR
KILKA,A FEW
BYŁEM,I WAS
ONA,SHE
NIC,THREAD
TOBĄ,You
CZĘSTO,OFTEN
PRAWIE,ALMOST
TE,THESE
CHCE,I WANT
DZIESIĘĆ,TEN
TWOJEGO,Your
UCZY,Teaches
SWOJEJ,His
UCZYĆ,TEACH
CZYTAĆ,TO READ
TEŻ,ALSO
CHCIAŁEM,I WANTED
TWOIM,Your
KSIĄŻKĘ,BOOK
WYGLĄDA,Look
POKÓJ,ROOM
ZOSTAŁ,LEFT
WŁAŚNIE,EXACTLY
BĘDĘ,I WILL BE
MUSI,HAS TO
GRA,GAME
TĄ,This
MIAŁ,HAD
ULUBIONY,FAVORITE
CZYM,What
MAMY,WE HAVE
WIEM,I KNOW
KIEDY,WHEN
DWIE,Two
PIĘĆ,BAKE
POWINIENEŚ,You should
ALE,BUT
NIEJ,It
TA,This
MUSZĘ,I HAVE TO
NIEGO,HIM
MOGŁEM,I could
ŻONA,WIFE
MIEĆ,TO HAVE
TAKI,SUCH
KOSZTUJE,Costs
ZROBIĆ,TO DO
PRZY,BY
MUSISZ,YOU HAVE TO
BYŁY,WERE
ROZUMIEM,I UNDERSTAND
NIĄ,On her
SWOICH,Herself
JAKIEŚ,Some
MATKA,MOTHER
JEŚLI,IF
WSZYSTKIE,ALL
MIESZKA,LIVES
NALEŻY,BELONGS
ZOBACZYĆ,SEE
ZNAM,I know
ŻEBYŚ,Do
ŻADNYCH,Any
NAM,U.S
JE,Eat
KTÓREJ,WHICH
JEDZĄ,THEY EAT
KTOŚ,SOMEONE
LIST,LETTER
POŻYCZYĆ,TO BORROW
MÓGŁBYM,I could
NIM,Nimble
MÓW,Talk
BYŚ,You would
CZEGO,WHAT
JEDZENIE,FOOD
KOCHA,LOVE
WSZYSCY,EVERYBODY